"","event","flight_number","date","hour","hour_format","location","origin","destination","longitude","latitude","tcas_type"
"1","bird_strike","AVA9255","2018-04-16","18:50","COL","NVA","BOG","NVA","","",""
"2","bird_strike","AVA9841","2018-04-19","19:10","COL","AXM","BOG","AXM","","",""
"3","bird_strike","AVA9303","2018-04-17","07:20","COL","BOG","MDE","BOG","","",""
"4","bird_strike","AVA9210","2018-04-21","05:35","COL","BOG","BOG","VUP","","",""
"5","bird_strike","AVA8570","2018-04-17","00:05","COL","BOG","BOG","CTG","","",""
"6","bird_strike","AVA8552","2018-04-22","23:30","COL","Indeterminado","BOG","CTG","","",""
"7","long_ldg","TPU831","2018-04-20","21:52:31","UTC","","LIM","CUZ","-71.9487762451172","-13.5348129272461",""
"8","long_ldg","LRC625","2018-04-20","06:30:02","UTC","","LIM","SCL","-70.7854309082031","-33.4029006958008",""
"9","long_ldg","AVA9332","2018-04-28","04:03:25","UTC","","BOG","MDE","-75.4237213134766","6.17019653320312",""
"10","long_ldg","AVA028","2018-04-25","17:28:56","UTC","","BOG","MCO","-81.3268127441406","28.436222076416",""
"11","long_ldg","TPU815","2018-04-18","11:24:52","UTC","","LIM","AQP","-71.5596160888672","-16.3413047790527",""
"12","long_ldg","TPU803","2018-04-27","02:07:21","UTC","","LIM","JUL","-70.17431640625","-15.4605102539062",""
"13","long_ldg","AVA9481","2018-04-18","00:43:12","UTC","","BGA","BOG","-74.1333389282227","4.69871520996094",""
"14","long_ldg","AVA9845","2018-04-18","04:13:33","UTC","","BOG","AXM","-75.7682418823242","4.44431304931641",""
"15","long_ldg","AVA9245","2018-04-28","19:00:53","UTC","","BOG","PPN","-76.6022262573242","2.45705342292786",""
"16","long_ldg","LRC670","2018-04-18","06:19:01","UTC","","SAL","JFK","-73.7790298461914","40.6305313110352",""
"17","long_ldg","AVA8513","2018-04-22","22:32:42","UTC","","BOG","IBE","-75.1379089355469","4.42536401748657",""
"18","long_ldg","TAI588","2018-04-19","03:50:00","UTC","","SAL","GUA","-90.5263977050781","14.5865507125854",""
"19","long_ldg","AVA9324","2018-04-16","14:54:39","UTC","","BOG","MDE","-75.4232025146484","6.17362976074219",""
"20","long_ldg","AVA9866","2018-04-21","14:39:59","UTC","","CLO","LET","-69.9446258544922","-4.19797897338867",""
"21","long_ldg","AVA9401","2018-04-22","16:50:38","UTC","","BOG","PSO","-77.2924194335938","1.39148712158203",""
"22","long_ldg","TAI588","2018-04-25","03:04:36","UTC","","SAL","GUA","-90.5263519287109","14.586745262146",""
"23","long_ldg","AVA9451","2018-04-23","13:45:18","UTC","","CUC","BOG","-74.1331634521484","4.69820022583008",""
"24","long_ldg","GUG708","2018-04-29","00:09:56","UTC","","MGA","GUA","-90.5266189575195","14.5859861373901",""
"25","long_ldg","AVA8506","2018-04-27","16:58:31","UTC","","BOG","MTR","-75.8305511474609","8.82854461669922",""
"26","long_ldg","TPU817","2018-04-17","02:42:33","UTC","","LIM","AQP","-71.5594482421875","-16.3413047790527",""
"27","long_ldg","AVA9259","2018-04-19","23:10:59","UTC","","BOG","PPN","-76.601692199707","2.45724725723267",""
"28","long_ldg","TPU817","2018-04-18","02:21:22","UTC","","LIM","AQP","-71.5651092529297","-16.3409614562988",""
"29","long_ldg","GUG748","2018-04-23","23:05:22","UTC","","TGU","GUA","-90.5266494750977","14.5858192443848",""
"30","long_ldg","GUG7973","2018-04-19","04:22:06","UTC","","FRS","GUA","-90.5265197753906","14.5861968994141",""
"31","long_ldg","GUG7973","2018-04-25","03:42:28","UTC","","FRS","GUA","-90.5268173217773","14.5852479934692",""
"32","long_ldg","TAI560","2018-04-28","08:11:24","UTC","","SAL","SFO","-122.385116577148","37.6249122619629",""
"33","long_ldg","AVA9277","2018-04-16","11:46:21","UTC","","BOG","IBE","-75.136360168457","4.42414474487305",""
"34","long_ldg","AVA9283","2018-04-27","23:46:44","UTC","","BOG","IBE","-75.136100769043","4.42380380630493",""
"35","long_ldg","AVA9293","2018-04-29","14:38:11","UTC","","BOG","NVA","-75.295654296875","2.94380497932434",""
"36","long_ldg","LRC697","2018-04-18","15:15:01","UTC","","BOG","SJO","-84.2009353637695","9.99687194824219",""
"37","long_ldg","TPU803","2018-04-29","01:51:06","UTC","","LIM","JUL","-70.1744842529297","-15.4605102539062",""
"38","long_ldg","TAI571","2018-04-27","19:10:26","UTC","","JFK","SAL","-89.0627288818359","13.4383392333984",""
"39","long_ldg","AVA8597","2018-04-19","21:23:39","UTC","","BOG","PSO","-77.2927703857422","1.3897705078125",""
"40","long_ldg","GUG704","2018-04-23","14:44:15","UTC","","SAL","GUA","-90.5263595581055","14.5866794586182",""
"41","long_ldg","AVA9251","2018-04-26","22:21:37","UTC","","BOG","FLA","-75.5677871704102","1.59089148044586",""
"42","long_ldg","AVA9775","2018-04-16","01:17:43","UTC","","SMR","BOG","-74.1340255737305","4.6995735168457",""
"43","long_ldg","AVA9542","2018-04-25","15:14:19","UTC","","BOG","CTG","-75.5126342773438","10.4512596130371",""
"44","long_ldg","LRC690","2018-04-24","22:05:07","UTC","","BOG","SJO","-84.2028198242188","9.99618530273438",""
"45","long_ldg","TPU818","2018-04-18","03:08:46","UTC","","LIM","TRU","-79.1070556640625","-8.07632446289062",""
"46","long_ldg","TPU815","2018-04-19","11:36:30","UTC","","LIM","AQP","-71.5589294433594","-16.3413047790527",""
"47","long_ldg","TAI583","2018-04-28","00:46:29","UTC","","IAD","SAL","-89.0625610351562","13.4385108947754",""
"48","long_ldg","TPU815","2018-04-22","11:22:57","UTC","","LIM","AQP","-71.5592803955078","-16.3413047790527",""
"49","long_ldg","ISV723","2018-04-16","01:09:00","UTC","","TGU","SAP","-87.9256134033203","15.450306892395",""
"50","long_ldg","TAI520","2018-04-24","06:36:23","UTC","","SAL","LAX","-118.403778076172","33.9352226257324",""
"51","long_ldg","LRC641","2018-04-24","12:50:31","UTC","","LAX","GUA","-90.5251159667969","14.5908737182617",""
"52","long_ldg","TPU815","2018-04-27","11:13:18","UTC","","LIM","AQP","-71.5582427978516","-16.3413047790527",""
"53","long_ldg","TAI520","2018-04-16","06:12:54","UTC","","SAL","LAX","-118.402236938477","33.9357376098633",""
"54","long_ldg","LRC640","2018-04-20","06:39:57","UTC","","GUA","LAX","-118.410125732422","33.9348793029785",""
"55","long_ldg","TPU831","2018-04-29","22:15:29","UTC","","LIM","AQP","-71.5584182739258","-16.3413047790527",""
"56","long_ldg","ISV753","2018-04-24","02:41:30","UTC","","SAP","GUA","-90.526741027832","14.5854892730713",""
"57","long_ldg","LRC640","2018-04-29","06:15:34","UTC","","GUA","LAX","-118.404296875","33.9352226257324",""
"58","long_ldg","ISV723","2018-04-16","01:09:00","UTC","","TGU","SAP","-87.9256134033203","15.450306892395",""
"59","long_ldg","AVA9255","2018-04-20","00:10:51","UTC","","BOG","NVA","-75.2955627441406","2.94401288032532",""
"60","long_ldg","ISV721","2018-04-25","23:46:53","UTC","","SAP","TGU","-87.215690612793","14.0651636123657",""
"61","long_ldg","AVA8485","2018-04-18","17:03:47","UTC","","SMR","BOG","-74.1342010498047","4.69974517822266",""
"62","long_ldg","AVA9281","2018-04-18","15:31:53","UTC","","BOG","IBE","-75.1370544433594","4.4246392250061",""
"63","long_ldg","TPU927","2018-04-17","07:04:02","UTC","","LIM","MDZ","-68.7927856445312","-32.8252601623535",""
"64","long_ldg","TPU927","2018-04-19","06:37:39","UTC","","LIM","MDZ","-68.7929534912109","-32.8266334533691",""
"65","long_ldg","TPU968","2018-04-16","20:23:18","UTC","","LIM","CUN","-86.8822860717773","21.0398483276367",""
"66","long_ldg","ISV722","2018-04-27","13:37:53","UTC","","SAP","TGU","-87.2155227661133","14.0656461715698",""
"67","long_ldg","AVA9736","2018-04-21","03:07:51","UTC","","BOG","MDE","-75.4232025146484","6.17431640625",""
"68","long_ldg","AVA9775","2018-04-29","01:18:16","UTC","","SMR","BOG","-74.1331634521484","4.69768524169922",""
"69","long_ldg","LRC640","2018-04-24","00:24:45","UTC","","SJO","GUA","-90.5249404907227","14.5910453796387",""
"70","long_ldg","LRC691","2018-04-19","00:41:38","UTC","","SJO","BOG","-74.1518783569336","4.69734191894531",""
"71","long_ldg","AVA008","2018-04-19","05:50:26","UTC","","BOG","MIA","-80.2805328369141","25.8013916015625",""
"72","long_ldg","GUG7979","2018-04-19","14:27:16","UTC","","FRS","GUA","-90.5265350341797","14.5861349105835",""
"73","long_ldg","AVA9291","2018-04-24","12:26:55","UTC","","BOG","NVA","-75.2953186035156","2.94570922851562",""
"74","long_ldg","TAI574","2018-04-20","03:05:39","UTC","","SAL","SAP","-87.924919128418","15.4511241912842",""
"75","long_ldg","AVA9310","2018-04-25","14:41:06","UTC","","BOG","MDE","-75.4237213134766","6.17002487182617",""
"76","long_ldg","AVA9283","2018-04-24","00:11:56","UTC","","BOG","IBE","-75.1366424560547","4.42428016662598",""
"77","long_ldg","AVA9302","2018-04-18","12:20:49","UTC","","BOG","MDE","-75.4232025146484","6.17414474487305",""
"78","long_ldg","TAI457","2018-04-29","04:56:08","UTC","","SAL","UIO","-78.3551788330078","-0.117416381835938",""
"79","long_ldg","TPU817","2018-04-20","02:31:44","UTC","","LIM","AQP","-71.5591049194336","-16.3413047790527",""
"80","long_ldg","TP801","2018-04-26","12:21:37","UTC","","LIM","JUL","-70.1725921630859","-15.4611968994141",""
