"","event","flight_number","date","hour","hour_format","location","origin","destination","longitude","latitude","tcas_type"
"1","bird_strike","AVA8515","2018-05-23","14:03","COL","BOG","PEI","BOG","","",""
"2","bird_strike","AVA8526","2018-05-23","20:00","COL","Indeterminado","BOG","CLO","","",""
"3","bird_strike","AVA9791","2018-05-23","06:30","COL","SMR","SMR","BOG","","",""
"4","bird_strike","AVA9443","2018-05-23","08:40","COL","Indeterminado","CUC","BOG","","",""
"5","bird_strike","AVA9449","2018-05-23","08:28","COL","MDE","MDE","BOG","","",""
"6","bird_strike","AVA8467","2018-05-24","00:10","COL","Indeterminado","CLO","BOG","","",""
"7","bird_strike","AVA9513","2018-05-25","19:00","COL","BOG","BAQ","BOG","","",""
"8","bird_strike","AVA9721","2018-05-27","19:00","COL","Indeterminado","BOG","NVA","","",""
"9","bird_strike","AVA8507","2018-05-27","14:20","COL","BOG","MTR","BOG","","",""
"10","bird_strike","AVA9839","2018-05-29","07:30","COL","AXM","BOG","AXM","","",""
"11","long_ldg","AVA031","2018-05-26","23:27:09","UTC","","MIA","MDE","-75.4232025146484","6.17448806762695",""
"12","long_ldg","TPU815","2018-05-27","11:13:56","UTC","","LIM","AQP","-71.5584182739258","-16.3413047790527",""
"13","long_ldg","ISV729","2018-05-24","17:54:23","UTC","","RTB","SAP","-87.9240646362305","15.4521179199219",""
"14","long_ldg","GUG7973","2018-05-25","04:16:54","UTC","","FRS","GUA","-90.5264282226562","14.5865030288696",""
"15","long_ldg","TAI522","2018-05-30","18:54:03","UTC","","SAL","LAX","-118.409614562988","33.9347076416016",""
"16","long_ldg","TPU815","2018-05-28","11:08:02","UTC","","LIM","AQP","-71.5592803955078","-16.3413047790527",""
"17","long_ldg","TPU817","2018-05-26","02:31:33","UTC","","LIM","AQP","-71.5582427978516","-16.3413047790527",""
"18","long_ldg","TAI580","2018-05-24","07:08:54","UTC","","SAL","IAD","-77.436279296875","38.9455032348633",""
"19","long_ldg","TAI520","2018-05-25","06:21:47","UTC","","SAL","LAX","-118.40446472168","33.9353942871094",""
"20","long_ldg","AVA9470","2018-05-29","04:07:34","UTC","","BOG","BGA","-73.1866302490234","7.13132858276367",""
"21","long_ldg","AVA9408","2018-05-17","21:49:50","UTC","","BOG","VVC","-73.615852355957","4.16531801223755",""
"22","long_ldg","AVA9486","2018-05-29","19:53:52","UTC","","BOG","LET","-69.9453125","-4.20003890991211",""
"23","long_ldg","TPU927","2018-05-16","06:46:33","UTC","","LIM","MDZ","-68.7927856445312","-32.8206253051758",""
"24","long_ldg","AVA8513","2018-05-20","22:13:08","UTC","","BOG","IBE","-75.136360168457","4.42415428161621",""
"25","long_ldg","ISV753","2018-05-28","02:45:32","UTC","","SAP","GUA","-90.5294418334961","14.5771894454956",""
