"","event","flight_number","date","hour","hour_format","location","origin","destination","longitude","latitude","tcas_type"
"1","bird_strike","AVA9746","2018-02-22","19:54","COL","CTG","BOG","CTG","","",""
"2","bird_strike","AVA88","2018-02-04","09:50","COL","EZE-BOG","EZE","BOG","","",""
"3","bird_strike","AVA9527","2018-02-07","18:42","COL","BAQ","BAQ","BOG","","",""
"4","bird_strike","AVA9201","2018-02-09","06:40","COL","CLO","BOG","CLO","","",""
"5","bird_strike","AVA9487","2018-02-11","16:41","COL","LET-BOG","LET","BOG","","",""
"6","bird_strike","AVA9845","2018-02-11","23:26","COL","AXM","BOG","AXM","","",""
"7","bird_strike","AVA8427","2018-02-13","16:40","COL","MDE","MDE","BOG","","",""
"8","bird_strike","AVA9452","2018-02-13","19:20","COL","CUC","BOG","CUC","","",""
"9","bird_strike","AVA15","2018-02-13","23:04","COL","CLO","CLO","BOG","","",""
"10","bird_strike","AVA9420","2018-02-18","07:27","COL","TCO","TCO","CLO","","",""
"11","bird_strike","AVA6","2018-02-15","09:07","COL","BOG","BOG","MIA","","",""
"12","bird_strike","AVA9407","2018-02-15","09:48","COL","VVC","VVC","BOG","","",""
"13","bird_strike","AVA8508","2018-02-15","18:28","COL","MTR","BOG","MTR","","",""
"14","bird_strike","AVA8508","2018-02-27","18:25","COL","MTR","BOG","MTR","","",""
"15","bird_strike","AVA9229","2018-02-22","22:51","COL","BOG-CLO","BOG","CLO","","",""
"16","bird_strike","AVA9417","2018-02-20","18:35","COL","PEI","BOG","PEI","","",""
"17","bird_strike","AVA9831","2018-02-19","19:34","COL","BOG","BOG","PEI","","",""
"18","bird_strike","AVA8510","2018-02-23","06:01","COL","PEI","PEI","BOG","","",""
"19","bird_strike","AVA9480","2018-02-23","18:15","COL","BGA","BOG","BGA","","",""
"20","bird_strike","AVA9291","2018-02-28","07:05","COL","NVA","BOG","NVA","","",""
"21","tcas","GUG749","2018-02-04","17:47:38","UTC","","GUA","TGU","14.1023","-87.2044","ADJUST VS"
"22","tcas","AVA9734","2018-02-04","22:11:19","UTC","","CLO","BOG","4.620609","-75.015678","MANTAIN VS"
"23","tcas","TAI310","2018-02-05","16:21:07","UTC","","SAL","MIA","25703012","-80473228","CLIMB"
