"","event","flight_number","date","hour","hour_format","location","origin","destination","longitude","latitude","tcas_type"
"1","bird_strike","AVA","2018-12-01","11:20:00","COL","BOG","BOG","MDE","","",""
"2","bird_strike","AVA","2018-12-02","21:58:00","COL","BOG","BGA","BOG","","",""
"3","bird_strike","AVA","2018-12-02","23:00:00","COL","BOG-MTR","BOG","MTR","","",""
"4","bird_strike","AVA","2018-12-03","10:30:00","COL","VVC","VVC","BOG","","",""
"5","bird_strike","AVA","2018-12-05","05:50:00","COL","LET-BOG","LET","BOG","","",""
"6","bird_strike","AVA","2018-12-03","09:45:00","COL","BAQ","BAQ","BOG","","",""
"7","bird_strike","AVA","2018-12-04","07:00:00","COL","AXM","BOG","AXM","","",""
"8","bird_strike","AVA","2018-12-05","21:14:00","COL","BAQ","MIA","BAQ","","",""
"9","bird_strike","AVA","2018-12-07","20:27:00","COL","BOG","BOG","CTG","","",""
"10","bird_strike","AVA","2018-12-10","15:25:00","COL","PEI","BOG","PEI","","",""
"11","bird_strike","AVA","2018-12-13","09:37:00","COL","BOG","CLO","BOG","","",""
"12","bird_strike","AVA","2018-12-13","11:00:00","COL","BOG","UIO","BOG","","",""
"13","bird_strike","AVA","2018-12-15","02:08:00","COL","BAQ","BOG","BAQ","","",""
"14","bird_strike","AVA","2018-12-14","22:51:00","COL","BAQ","BAQ","BOG","","",""
"15","bird_strike","AVA","2018-12-14","12:00:00","COL","GYE","UIO","GYE","","",""
"16","bird_strike","AVA","2018-12-14","12:00:00","COL","GYE","UIO","GYE","","",""
"17","bird_strike","AVA","2018-12-08","20:50:00","COL","BOG","BOG","BCN","","",""
"18","bird_strike","AVA","2018-12-14","08:30:00","COL","BGA","BOG","BGA","","",""
"19","bird_strike","AVA","2018-12-14","08:30:00","COL","BGA","BOG","BGA","","",""
"20","bird_strike","AVA","2018-12-23","17:00:00","COL","TCO","TCO","CLO","","",""
"21","bird_strike","AVA","2018-12-22","07:33:00","COL","MTR","BOG","MTR","","",""
"22","bird_strike","AVA","2018-12-21","17:25:00","COL","VVC","VVC","BOG","","",""
"23","bird_strike","AVA","2018-12-23","21:42:00","COL","BGA","BOG","BGA","","",""
"24","bird_strike","AVA","2018-12-24","11:37:00","COL","BOG","AXM","BOG","","",""
"25","bird_strike","AVA","2018-12-24","00:16:00","COL","GYE","SAL","GYE","","",""
"26","bird_strike","AVA","2018-12-25","18:59:00","COL","AXM","BOG","AXM","","",""
"27","bird_strike","AVA","2018-12-26","14:05:00","COL","VUP","VUP","BPG","","",""
"28","bird_strike","AVA","2018-12-31","09:15:00","COL","MIA","BOG","MIA","","",""
"29","long_ldg","GLG8381","2018-12-06","04:32:28","UTC","","BOG","GYE","-79.888801574707","-2.16619491577148",""
"30","long_ldg","AVA095","2018-12-22","23:44:26","UTC","","SAL","BOG","-74.1468963623047","4.69356536865234",""
"31","long_ldg","AVA9320","2018-12-30","13:59:09","UTC","","BOG","CUC","-72.5111389160156","7.92629241943359",""
"32","long_ldg","AVA8475","2018-12-24","19:56:18","UTC","","MDE","CLO","-76.3829650878906","3.53588104248047",""
"33","long_ldg","AVA8563","2018-12-13","21:05:25","UTC","","BGA","BOG","-74.1338500976562","4.69940185546875",""
"34","long_ldg","AVA9446","2018-12-13","23:10:05","UTC","","BOG","CUC","-72.5111389160156","7.92646408081055",""
"35","long_ldg","AVA8511","2018-12-06","15:08:03","UTC","","BOG","PEI","-75.7316741943359","4.81527328491211",""
"36","long_ldg","AVA9776","2018-12-25","22:20:56","UTC","","BOG","ADZ","-81.7058410644531","12.586727142334",""
"37","long_ldg","AVA9858","2018-12-22","07:35:46","UTC","","BGA","ADZ","-81.7044677734375","12.5874137878418",""
"38","long_ldg","AVA8578","2018-12-05","18:52:27","UTC","","BOG","BGA","-73.1866302490234","7.13098526000977",""
"39","long_ldg","AVA8578","2018-12-05","18:52:27","UTC","","BOG","BGA","-73.1866302490234","7.13098526000977",""
"40","long_ldg","AVA9780","2018-12-30","02:31:05","UTC","","BOG","ADZ","-81.7089233398438","12.5848388671875",""
"41","long_ldg","AVA9805","2018-12-25","15:59:48","UTC","","BOG","PEI","-75.7323608398438","4.8149299621582",""
"42","long_ldg","AVA9724","2018-12-29","15:35:00","UTC","","BOG","CUC","-72.5113067626953","7.9266357421875",""
"43","long_ldg","AVA8472","2018-12-06","14:33:09","UTC","","CLO","MDE","-75.4232025146484","6.17483139038086",""
"44","long_ldg","AVA9428","2018-12-15","04:38:15","UTC","","BOG","CUC","-72.5095977783203","7.92388916015625",""
"45","long_ldg","AVA9446","2018-12-07","23:06:44","UTC","","BOG","CUC","-72.5107955932617","7.92594909667969",""
"46","long_ldg","AVA9442","2018-12-21","04:39:43","UTC","","BOG","CUC","-72.5111389160156","7.92646408081055",""
"47","long_ldg","AVA9831","2018-12-13","01:42:18","UTC","","BOG","PEI","-75.7342529296875","4.81441497802734",""
"48","long_ldg","AVA8508","2018-12-14","23:47:36","UTC","","BOG","MTR","-75.8312377929688","8.82923126220703",""
"49","long_ldg","AVA8563","2018-12-30","21:05:34","UTC","","BGA","BOG","-74.1338500976562","4.6995735168457",""
"50","long_ldg","AVA8563","2018-12-03","21:08:58","UTC","","BGA","BOG","-74.1587448120117","4.70249176025391",""
"51","long_ldg","AVA037","2018-12-26","22:30:48","UTC","","FLL","BOG","-74.146728515625","4.69339370727539",""
"52","long_ldg","AVA9428","2018-12-19","02:54:56","UTC","","BOG","CUC","-72.5114822387695","7.92697906494141",""
"53","long_ldg","AVA9759","2018-12-25","18:47:35","UTC","","CTG","BOG","-74.1367721557617","4.70094680786133",""
"54","long_ldg","LRC691","2018-12-11","00:04:07","UTC","","SJO","BOG","-74.1513671875","4.69717025756836",""
"55","long_ldg","TPU801","2018-12-11","12:21:47","UTC","","LIM","JUL","-70.1746520996094","-15.4603385925293",""
"56","long_ldg","TPU801","2018-12-28","12:33:57","UTC","","LIM","JUL","-70.17431640625","-15.4605102539062",""
"57","long_ldg","TPU960","2018-12-15","21:25:18","UTC","","LIM","MEX","-99.0657806396484","19.4382476806641",""
"58","long_ldg","TPU835","2018-12-11","01:54:54","UTC","","LIM","CUZ","-71.9475708007812","-13.534984588623",""
"59","long_ldg","TPU919","2018-12-26","07:30:13","UTC","","LIM","POA","-51.1681365966797","-29.9947357177734",""
"60","long_ldg","TAI564","2018-12-04","03:30:59","UTC","","SAL","SFO","-122.373107910156","37.6201057434082",""
"61","long_ldg","TPU919","2018-12-16","07:47:51","UTC","","LIM","POA","-51.167106628418","-29.9947357177734",""
"62","long_ldg","TPU837","2018-12-06","17:15:04","UTC","","LIM","CUZ","-71.9461975097656","-13.53515625",""
