"","event","flight_number","date","hour","hour_format","location","origin","destination","longitude","latitude","tcas_type"
"1","bird_strike","AVA","2019-02-01","13:00:00","COL","PEI","BOG","PEI","","",""
"2","bird_strike","AVA","2019-02-01","09:15:00","COL","PEI","PEI","BOG","","",""
"3","bird_strike","AVA","2019-02-03","14:00:00","COL","SCY","GYE","SCY","","",""
"4","bird_strike","AVA","2019-02-10","19:03:00","COL","BAQ","BOG","BAQ","","",""
"5","bird_strike","AVA","2019-02-11","19:05:00","COL","BAQ","BOG","BAQ","","",""
"6","bird_strike","AVA","2019-02-14",NA,"COL","PTY-BOG","PTY","BOG","","",""
"7","bird_strike","AVA","2019-02-17","07:10:00","COL","MZL","BOG","MZL","","",""
"8","bird_strike","AVA","2019-02-14","16:45:00","COL","MDE","CTG","MDE","","",""
"9","bird_strike","AVA","2019-02-13","12:57:00","COL","BAQ","BAQ","BOG","","",""
"10","bird_strike","AVA","2019-02-19","12:50:00","COL","BAQ","BAQ","BOG","","",""
"11","bird_strike","AVA","2019-02-20","08:45:00","COL","BAQ","BAQ","BOG","","",""
"12","bird_strike","AVA","2019-02-20","10:00:00","COL","CLO","BOG","CLO","","",""
"13","bird_strike","AVA","2019-02-20","13:00:00","COL","PEI","BOG","PEI","","",""
"14","bird_strike","AVA","2019-02-24","15:00:00","COL","PEI","BOG","PEI","","",""
"15","bird_strike","AVA","2019-02-23","05:44:00","COL","BOG","HAV","BOG","","",""
"16","bird_strike","AVA","2019-02-20","19:06:00","COL","MDE","BOG","MDE","","",""
"17","bird_strike","AVA","2019-02-25","09:30:00","COL","CZU","BOG","CZU","","",""
"18","bird_strike","AVA","2019-02-28","15:25:00","COL","BAQ","BAQ","BOG","","",""
"19","bird_strike","AVA","2019-02-23","09:40:00","COL","BAQ","BOG","BAQ","","",""
"20","bird_strike","AVA","2019-02-12","18:28:00","COL","PEI","PEI","BOG","","",""
"21","bird_strike","AVA","2019-02-26","18:52:00","COL","BAQ","BOG","BAQ","","",""
"22","long_ldg","AVA9486","2019-02-04","18:54:17","UTC","","BOG","LET","-69.9441146850586","-4.19677734375",""
"23","long_ldg","AVA8539","2019-02-05","12:03:48","UTC","","BOG","PEI","-75.732536315918","4.8149299621582",""
"24","long_ldg","TAI443","2019-02-24","00:17:18","UTC","","GUA","SAL","-89.0622100830078","13.4385108947754",""
"25","long_ldg","AVA9339","2019-02-15","13:56:05","UTC","","MDE","BOG","-74.1424407958984","4.69013214111328",""
"26","long_ldg","AVA8560","2019-02-04","16:44:23","UTC","","BOG","ADZ","-81.7054901123047","12.5868988037109",""
"27","long_ldg","AVA9417","2019-02-15","23:17:16","UTC","","BOG","PEI","-75.7335662841797","4.8145866394043",""
"28","long_ldg","AVA9454","2019-02-22","19:13:31","UTC","","BOG","CUC","-72.5111389160156","7.92629241943359",""
"29","long_ldg","AVA8457","2019-02-13","19:41:35","UTC","","MTR","MDE","-75.4232025146484","6.17500305175781",""
"30","long_ldg","AVA9368","2019-02-20","23:36:45","UTC","","MDE","BAQ","-74.7743225097656","10.8953475952148",""
"31","long_ldg","LRC641","2019-02-15","13:38:51","UTC","","GUA","SJO","-84.2023086547852","9.99635696411133",""
"32","long_ldg","AVA9458","2019-02-17","01:54:40","UTC","","BOG","CUC","-72.5121688842773","7.92818069458008",""
"33","long_ldg","AVA9778","2019-02-14","19:21:04","UTC","","BOG","ADZ","-81.7049789428711","12.5870704650879",""
"34","long_ldg","AVA9428","2019-02-13","02:13:36","UTC","","BOG","CUC","-72.5114822387695","7.92697906494141",""
"35","long_ldg","AVA8597","2019-02-03","21:23:47","UTC","","BOG","PSO","-77.2889862060547","1.40436172485352",""
"36","long_ldg","TAI482","2019-02-06","16:13:51","UTC","","SAL","RTB","-86.5177993774414","16.319299697876",""
"37","long_ldg","AVA9504","2019-02-04","04:29:02","UTC","","MDE","CUC","-72.5123443603516","7.92835235595703",""
"38","long_ldg","TAI580","2019-02-08","01:34:55","UTC","","SAL","IAD","-77.436279296875","38.935375213623",""
"39","long_ldg","AVA9724","2019-02-04","14:56:35","UTC","","BOG","CUC","-72.5113067626953","7.9266357421875",""
"40","long_ldg","AVA044","2019-02-27","06:33:36","UTC","","BOG","MEX","-99.059944152832","19.4415092468262",""
"41","long_ldg","GLG8381","2019-02-07","00:11:52","UTC","","AUA","BOG","-74.1336822509766","4.6992301940918",""
"42","long_ldg","AVA9480","2019-02-23","03:14:35","UTC","","BOG","BGA","-73.1888580322266","7.13424682617188",""
"43","long_ldg","TPU919","2019-02-24","09:15:58","UTC","","LIM","POA","-51.1650466918945","-29.9947357177734",""
"44","long_ldg","AVA9452","2019-02-21","00:37:10","UTC","","BOG","CUC","-72.5119934082031","7.92766571044922",""
"45","long_ldg","TAI450","2019-02-11","16:43:52","UTC","","SAL","HAV","-82.4048461914062","22.9919815063477",""
