"","event","flight_number","date","hour","hour_format","location","origin","destination","longitude","latitude","tcas_type"
"1","bird_strike","AVA","2019-01-01","18:40:00","COL","MTR","BOG","MTR","","",""
"2","bird_strike","AVA","2019-01-03","21:16:00","COL","CUC","BOG","CUC","","",""
"3","bird_strike","AVA","2019-01-04","20:55:00","COL","BGA","BOG","BGA","","",""
"4","bird_strike","AVA","2019-01-04","05:49:00","COL","MVD","BOG","MVD","","",""
"5","bird_strike","AVA","2019-01-05","12:10:00","COL","MZL","BOG","MZL","","",""
"6","bird_strike","AVA","2019-01-06","10:23:00","COL","BAQ","BOG","BAQ","","",""
"7","bird_strike","AVA","2019-01-07","18:01:00","COL","MDE","MDE","BOG","","",""
"8","bird_strike","AVA","2019-01-07","15:00:00","COL","MDE","MTR","MDE","","",""
"9","bird_strike","AVA","2019-01-07","20:03:00","COL","AXM","AXM","BOG","","",""
"10","bird_strike","AVA","2019-01-08","05:25:00","COL","CLO","CLO","BOG","","",""
"11","bird_strike","AVA","2019-01-09","09:03:00","COL","BOG","BOG","PEI","","",""
"12","bird_strike","AVA","2019-01-09","22:17:00","COL","EYP","BOG","EYP","","",""
"13","bird_strike","AVA","2019-01-10","07:40:00","COL","PEI","PEI","BOG","","",""
"14","bird_strike","AVA","2019-01-10","18:39:00","COL","MTR","BOG","MTR","","",""
"15","bird_strike","AVA","2019-01-14","18:23:00","COL","AXM","BOG","AXM","","",""
"16","bird_strike","AVA","2019-01-15","11:50:00","COL","BAQ","BAQ","BOG","","",""
"17","bird_strike","AVA","2019-01-16","08:49:00","COL","SAL","SAL","SAP","","",""
"18","bird_strike","AVA","2019-01-17","08:10:00","COL","VVC","VVC","BOG","","",""
"19","bird_strike","AVA","2019-01-18","08:49:00","COL","BAQ","BAQ","BOG","","",""
"20","bird_strike","AVA","2019-01-18","17:40:00","COL","CUN","BOG","CUN","","",""
"21","bird_strike","AVA","2019-01-20","18:42:00","COL","AXM","BOG","AXM","","",""
"22","bird_strike","AVA","2019-01-22","10:24:00","COL","BOG","BOG","MDE","","",""
"23","bird_strike","AVA","2019-01-23","09:50:00","COL","MDE","MDE","BOG","","",""
"24","bird_strike","AVA","2019-01-24","06:10:00","COL","BAQ","BAQ","CLO","","",""
