"","event","flight_number","date","hour","hour_format","location","origin","destination","longitude","latitude","tcas_type"
"1","bird_strike","AVA","2018-08-03","18:42:00","COL","BGA","BOG","BGA","","",""
"2","bird_strike","AVA","2018-08-03","16:26:00","COL","GYE","BOG","GYE","","",""
"3","bird_strike","AVA","2018-08-03","08:06:00","COL","BOG","BOG","BAQ","","",""
"4","bird_strike","AVA","2018-08-03","10:09:00","COL","BAQ-BOG","BAQ","BOG","","",""
"5","bird_strike","AVA","2018-07-07","20:55:00","COL","IBE-BOG","IBE","BOG","","",""
"6","bird_strike","AVA","2018-07-02","20:44:00","COL","CTG","CTG","CLO","","",""
"7","bird_strike","AVA","2018-07-05","01:03:00","COL","BOG","VUP","BOG","","",""
"8","bird_strike","AVA","2018-07-11","14:14:00","COL","BAQ","BAQ","BOG","","",""
"9","bird_strike","AVA","2018-07-13","08:27:00","COL","BOG","BGA","BOG","","",""
"10","bird_strike","AVA","2018-07-16","12:08:00","COL","BOG","SMR","BOG","","",""
"11","bird_strike","AVA","2018-07-12","14:37:00","COL","MZL","BOG","MZL","","",""
"12","bird_strike","AVA","2018-07-17","13:47:00","COL","PPN","BOG","PPN","","",""
"13","bird_strike","AVA","2018-07-12","16:46:00","COL","MDE-CTG","MDE","CTG","","",""
"14","bird_strike","AVA","2018-07-09","20:25:00","COL","CLO-BOG","CLO","BOG","","",""
"15","bird_strike","AVA","2018-07-25","12:49:00","COL","CTG","CTG","BOG","","",""
"16","bird_strike","AVA","2018-07-24","19:03:00","COL","CTG","BOG","CTG","","",""
"17","bird_strike","AVA","2018-07-15","12:19:00","COL","CTG-BOG","CTG","BOG","","",""
"18","bird_strike","AVA","2018-07-19","19:18:00","COL","CTG","CTG","MDE","","",""
"19","bird_strike","AVA","2018-07-20","19:56:00","COL","BAQ","BAQ","BOG","","",""
"20","bird_strike","AVA","2018-07-23","09:14:00","COL","PEI","BOG","PEI","","",""
"21","bird_strike","AVA","2018-07-19","19:40:00","COL","PEI","PEI","BOG","","",""
"22","bird_strike","AVA","2018-07-21","21:08:00","COL","BOG","SJU","OG","","",""
"23","bird_strike","AVA","2018-07-17","10:32:00","COL","BGA-BOG","BGA","BOG","","",""
"24","bird_strike","AVA","2018-07-15","07:52:00","COL","VVC","BOG","VVC","","",""
"25","bird_strike","AVA","2018-07-23","10:48:00","COL","CTG","CTG","BOG","","",""
"26","bird_strike","AVA","2018-07-25","20:34:00","COL","MTR","MTR","BOG","","",""
"27","bird_strike","AVA","2018-07-22","19:35:00","COL","BAQ","MDE","BAQ","","",""
"28","bird_strike","AVA","2018-07-29","16:04:00","COL","BOG","MZL","BOG","","",""
"29","bird_strike","AVA","2018-07-27","07:45:00","COL","MZL","MZL","BOG","","",""
"30","bird_strike","AVA","2018-07-27","14:03:00","COL","PEI","PEI","BOG","","",""
"31","bird_strike","AVA","2018-07-30","18:59:00","COL","MTR","BOG","MTR","","",""
"32","bird_strike","AVA","2018-07-28","11:55:00","COL","BOG","BOG","SAL","","",""
"33","bird_strike","AVA","2018-08-02","18:55:00","COL","MTR","BOG","MTR","","",""
"34","bird_strike","AVA","2018-08-08","18:56:00","COL","MTR","BOG","MTR","","",""
"35","bird_strike","AVA","2018-08-08","18:13:00","COL","PEI","BOG","PEI","","",""
"36","bird_strike","AVA","2018-08-05","20:58:00","COL","BOG","MTR","BOG","","",""
"37","bird_strike","AVA","2018-08-11","06:38:00","COL","CLO","BOG","CLO","","",""
"38","bird_strike","AVA","2018-08-16","06:47:00","COL","BGA","MDE","BGA","","",""
"39","bird_strike","AVA","2018-08-14","05:32:00","COL","PEI","ADZ","PEI","","",""
"40","bird_strike","AVA","2018-08-10","18:58:00","COL","NVA","BOG","NVA","","",""
"41","bird_strike","AVA","2018-08-10","09:22:00","COL","SAP","SAL","SAP","","",""
"42","bird_strike","AVA","2018-08-06","06:47:00","COL","SAP","GUA","SAP","","",""
"43","bird_strike","AVA","2018-08-05","08:13:00","COL","TGU","SAP","TGU","","",""
"44","bird_strike","AVA","2018-08-15","11:01:00","COL","BAQ","BAQ","MDE","","",""
"45","bird_strike","AVA","2018-08-21","13:28:00","COL","MDE","BOG","MDE","","",""
"46","bird_strike","AVA","2018-08-18","18:28:00","COL","MTR","BOG","MTR","","",""
"47","bird_strike","AVA","2018-08-12","13:39:00","COL","PSO","BOG","PSO","","",""
"48","bird_strike","AVA","2018-08-26","11:17:00","COL","PEI","BOG","PEI","","",""
"49","bird_strike","AVA","2018-08-26","14:06:00","COL","BOG","BOG","MDE","","",""
"50","bird_strike","AVA","2018-08-24","08:39:00","COL","BOG","BOG","MDE","","",""
"51","bird_strike","AVA","2018-08-15","10:37:00","COL","BGA","BOG","BGA","","",""
"52","bird_strike","AVA","2018-08-23","15:41:00","COL","BOG","BAQ","BOG","","",""
"53","bird_strike","AVA","2018-08-25","18:34:00","COL","BAQ","MDE","BAQ","","",""
"54","bird_strike","AVA","2018-08-27","18:34:00","COL","MTR","BOG","MTR","","",""
"55","bird_strike","AVA","2018-08-27","14:34:00","COL","CTG","CTG","BOG","","",""
"56","bird_strike","AVA","2018-08-29","08:32:00","COL","BOG","BOG","MEX","","",""
"57","bird_strike","AVA","2018-08-28","14:03:00","COL","PPN","BOG","PPN","","",""
"58","bird_strike","AVA","2018-08-30","23:38:00","COL","BOG","CUN","BOG","","",""
"59","bird_strike","AVA","2018-08-29","11:33:00","COL","ADZ","BOG","ADZ","","",""
"60","long_ldg","GLG8376","2018-07-01","00:33:35","UTC","","UIO","BOG","-74.1517028808594","4.69717025756836",""
"61","long_ldg","AVA9277","2018-07-18","11:37:34","UTC","","BOG","IBE","-75.1367568969727","4.42435503005981",""
"62","long_ldg","AVA9245","2018-07-01","19:00:25","UTC","","BOG","PPN","-76.6034622192383","2.45659279823303",""
"63","long_ldg","AVA9283","2018-07-03","23:40:30","UTC","","BOG","IBE","-75.1364898681641","4.42412805557251",""
"64","long_ldg","AVA9245","2018-07-21","18:43:03","UTC","","BOG","PPN","-76.605354309082","2.45593881607056",""
"65","long_ldg","AVA9259","2018-07-27","23:05:56","UTC","","BOG","PPN","-76.6055221557617","2.45587086677551",""
"66","long_ldg","AVA9277","2018-07-25","12:14:53","UTC","","BOG","IBE","-75.1365356445312","4.42432641983032",""
"67","long_ldg","AVA9293","2018-07-29","14:19:18","UTC","","BOG","NVA","-75.295768737793","2.94340062141418",""
"68","long_ldg","TAI574","2018-07-03","02:55:11","UTC","","SAL","SAP","-87.9255294799805","15.4504585266113",""
"69","long_ldg","ISV753","2018-07-03","02:29:50","UTC","","SAP","GUA","-90.5289611816406","14.5785140991211",""
"70","long_ldg","TPU815","2018-07-01","11:12:44","UTC","","LIM","AQP","-71.55859375","-16.3413047790527",""
"71","long_ldg","TPU817","2018-07-01","02:42:32","UTC","","LIM","AQP","-71.5616760253906","-16.3411331176758",""
"72","long_ldg","TAI560","2018-07-01","06:44:12","UTC","","SAL","SFO","-122.376541137695","37.6214790344238",""
"73","long_ldg","LRC625","2018-07-02","06:30:07","UTC","","LIM","SCL","-70.7854309082031","-33.4016990661621",""
"74","long_ldg","AVA9447","2018-07-03","00:32:02","UTC","","CUC","BOG","-74.1340255737305","4.6995735168457",""
"75","long_ldg","LRC641","2018-07-01","13:42:04","UTC","","LAX","GUA","-90.5251159667969","14.5908737182617",""
"76","long_ldg","TAI566","2018-07-02","06:22:24","UTC","","SAL","JFK","-73.7848663330078","40.6337928771973",""
"77","long_ldg","TPU815","2018-07-02","11:17:11","UTC","","LIM","AQP","-71.5580749511719","-16.3413047790527",""
"78","long_ldg","ISV721","2018-08-06","00:02:03","UTC","","SAP","TGU","-87.2184982299805","14.0572004318237",""
"79","long_ldg","GUG7973","2018-07-27","06:08:30","UTC","","FRS","GUA","-90.5267715454102","14.585412979126",""
"80","long_ldg","ISV712","2018-07-01","21:55:26","UTC","","SJO","TGU","-87.2156448364258","14.0654163360596",""
"81","long_ldg","TAI454","2018-07-06","15:19:43","UTC","","SAL","TGU","-87.2156448364258","14.0651998519897",""
"82","long_ldg","ISV721","2018-07-19","23:45:29","UTC","","SAP","TGU","-87.2147521972656","14.0677824020386",""
"83","TCAS - RA","GUG738","2018-08-17","14:30:54","UTC","","SJO","GUA","-90.5531616210938","14.5004796981812","TCAS Resolution"
"84","TCAS - RA","AVA9715","2018-08-27","17:12:45","UTC","","SMR","BOG","-74.2595062255859","4.77888107299805","TCAS Resolution"
"85","TCAS - RA","AVA9408","2018-07-10","21:10:41","UTC","","BOG","VVC","-74.0841293334961","4.69879627227783","TCAS Resolution"
"86","TCAS - RA","AVA9264","2018-07-27","13:39:04","UTC","","EYP","BOG","-74.2567291259766","4.77686214447021","TCAS Resolution"
"87","TCAS - RA","AVA9222","2018-07-18","20:19:01","UTC","","CLO","BOG","-76.2432250976562","4.02425765991211","TCAS Resolution"
