"","event","flight_number","date","hour","hour_format","location","origin","destination","longitude","latitude","tcas_type"
"1","bird_strike","AVA","2019-03-05","10:50:00","COL","CLO","BOG","CLO","","",""
"2","bird_strike","AVA","2019-03-08","10:50:00","COL","CLO","BOG","CLO","","",""
"3","bird_strike","AVA","2019-03-07","18:50:00","COL","AXM","BOG","AXM","","",""
"4","bird_strike","AVA","2019-03-06","11:10:00","COL","BOG","PEI","BOG","","",""
"5","bird_strike","AVA","2019-03-05","20:45:00","COL","GYE","GYE","LIM","","",""
"6","bird_strike","AVA","2019-03-08","09:00:00","COL","JUL","JUL","LIM","","",""
"7","bird_strike","AVA","2019-03-03","18:56:00","COL","BAQ","BOG","BAQ","","",""
"8","bird_strike","AVA","2019-03-08","20:00:00","COL","VVC","VVC","BOG","","",""
"9","bird_strike","AVA","2019-03-09","13:40:00","COL","BOG","BOG","MZL","","",""
"10","bird_strike","AVA","2019-03-27",NA,"COL","LAX-SAL","LAX","SAL","","",""
"11","bird_strike","AVA","2019-03-11","20:44:00","COL","BOG","AXM","BOG","","",""
"12","bird_strike","AVA","2019-03-13","19:40:00","COL","NVA","BOG","NVA","","",""
"13","bird_strike","AVA","2019-03-15","12:00:00","COL","MZL","BOG","MZL","","",""
"14","bird_strike","AVA","2019-03-18","11:50:00","COL","SMR","BOG","SMR","","",""
"15","bird_strike","AVA","2019-03-18","08:30:00","COL","BAQ","BAQ","BOG","","",""
"16","bird_strike","AVA","2019-03-20","22:00:00","COL","NO DEFINED","MIA","BOG","","",""
"17","bird_strike","AVA","2019-03-20","16:35:00","COL","CTG","BOG","CTG","","",""
"18","bird_strike","AVA","2019-03-19","03:30:00","COL","BOG","LHR","BOG","","",""
"19","bird_strike","AVA","2019-03-12","08:26:00","COL","OCC","UIO","OCC","","",""
"20","bird_strike","AVA","2019-03-20","12:00:00","COL","AXM","BOG","AXM","","",""
"21","bird_strike","AVA","2019-03-19","18:45:00","COL","AXM","BOG","AXM","","",""
"22","bird_strike","AVA","2019-03-21","14:23:00","COL","GYE","GYE","SCY","","",""
"23","bird_strike","AVA","2019-03-21","18:55:00","COL","AXM","BOG","AXM","","",""
"24","bird_strike","AVA","2019-03-25","11:45:00","COL","BOG","BOG","MAD","","",""
"25","bird_strike","AVA","2019-03-24","21:53:00","COL","LHR","LHR","BOG","","",""
"26","bird_strike","AVA","2019-03-27","06:50:00","COL","MDE","BOG","MDE","","",""
"27","bird_strike","AVA","2019-03-24","17:43:00","COL","BOG","BOG","PEI","","",""
"28","bird_strike","AVA","2019-03-26",NA,"COL","UIO-GYE","UIO","GYE","","",""
"29","bird_strike","AVA","2019-03-26","21:05:00","COL","MTR-BOG","MTR","BOG","","",""
"30","bird_strike","AVA","2019-03-27","20:00:00","COL","PTY","PTY","BOG","","",""
