"","event","flight_number","date","hour","hour_format","location","origin","destination","longitude","latitude","tcas_type"
"1","bird_strike","AVA","2018-11-06","21:15:00","COL","BOG","CUC","BOG","","",""
"2","bird_strike","AVA","2018-11-05","21:03:00","COL","BOG","MIA","BOG","","",""
"3","bird_strike","AVA","2018-11-05","10:31:00","COL","BOG","SCL","BOG","","",""
"4","bird_strike","AVA","2018-11-04","17:20:00","COL","BOG","BOG","LAX","","",""
"5","bird_strike","AVA","2018-11-04","11:52:00","COL","BAQ","BOG","BAQ","","",""
"6","bird_strike","AVA","2018-11-04","06:11:00","COL","BOG","CLO","BOG","","",""
"7","bird_strike","AVA","2018-11-03","20:41:00","COL","BOG","BOG","LPB","","",""
"8","bird_strike","AVA","2018-11-04",NA,"COL","BOG","BOG","SJO","","",""
"9","bird_strike","AVA","2018-11-01","17:50:00","COL","EYP","BOG","EYP","","",""
"10","bird_strike","AVA","2018-11-01","09:10:00","COL","BAQ","BOG","BAQ","","",""
"11","bird_strike","AVA","2018-11-02","10:30:00","COL","MDE-BOG","MDE","BOG","","",""
"12","bird_strike","AVA","2018-11-17","13:14:00","COL","BOG","BAQ","BOG","","",""
"13","bird_strike","AVA","2018-11-15","12:47:00","COL","CLO","BOG","CLO","","",""
"14","bird_strike","AVA","2018-11-01","09:30:00","COL","BOG","BOG","MCO","","",""
"15","bird_strike","AVA","2018-11-04","07:50:00","COL","BOG-CLO","BOG","CLO","","",""
"16","bird_strike","AVA","2018-11-06","15:30:00","COL","CUZ-LIM","CUZ","LIM","","",""
"17","bird_strike","AVA","2018-11-07","21:00:00","COL","AXM-BOG","AXM","BOG","","",""
"18","bird_strike","AVA","2018-11-08","01:00:00","COL","BOG","LIM","BOG","","",""
"19","bird_strike","AVA","2018-11-08","21:30:00","COL","BOG","BOG","BAQ","","",""
"20","bird_strike","AVA","2018-11-09",NA,"COL","BOG","SMR","BOG","","",""
"21","bird_strike","AVA","2018-11-12","07:30:00","COL","GYE-SAL","GYE","SAL","","",""
"22","bird_strike","AVA","2018-11-18","22:44:00","COL","MTR","BOG","MTR","","",""
"23","bird_strike","AVA","2018-11-08","18:18:00","COL","VUP","BOG","VUP","","",""
"24","bird_strike","AVA","2018-11-08","22:10:00","COL","CLO","CLO","BOG","","",""
"25","bird_strike","AVA","2018-11-09","18:00:00","COL","MTR","BOG","MTR","","",""
"26","bird_strike","AVA","2018-11-09","20:35:00","COL","CUC-BOG","CUC","BOG","","",""
"27","bird_strike","AVA","2018-11-13","20:51:00","COL","CTG","BOG","CTG","","",""
"28","bird_strike","AVA","2018-11-14","19:28:00","COL","MTR","MTR","BOG","","",""
"29","bird_strike","AVA","2018-11-14",NA,"COL","MTR","BOG","MTR","","",""
"30","bird_strike","AVA","2018-11-18","15:50:00","COL","CLO-BOG","CLO","BOG","","",""
"31","bird_strike","AVA","2018-11-20","07:01:00","COL","EJA","BOG","EJA","","",""
