"","event","flight_number","date","hour","hour_format","location","origin","destination","longitude","latitude","tcas_type"
"1","bird_strike","AVA","2018-10-06","08:20:00","COL","BOG-BAQ","BOG","BAQ","","",""
"2","bird_strike","AVA","2018-10-10","07:55:00","COL","CUC","BOG","CUC","","",""
"3","bird_strike","AVA","2018-10-06","21:30:00","COL","AXM-BOG","AXM","BOG","","",""
"4","bird_strike","AVA","2018-10-04","07:30:00","COL","CUC","CUC","BOG","","",""
"5","bird_strike","AVA","2018-10-09","21:30:00","COL","BOG","BOG","MDE","","",""
"6","bird_strike","AVA","2018-10-16","14:58:00","COL","CTG","BOG","CTG","","",""
"7","bird_strike","AVA","2018-10-08",NA,"COL","BOG","MDE","BOG","","",""
"8","bird_strike","AVA","2018-10-10","06:30:00","COL","PTY","PTY","BOG","","",""
"9","bird_strike","AVA","2018-10-08",NA,"COL","BOG","ADZ","BOG","","",""
"10","bird_strike","AVA","2018-10-09","21:30:00","COL","BOG","MDE","BOG","","",""
"11","bird_strike","AVA","2018-10-10","20:17:00","COL","BOG","NVA","BOG","","",""
"12","bird_strike","AVA","2018-10-01","22:20:00","COL","BOG","BGA","BOG","","",""
"13","bird_strike","AVA","2018-10-04","21:28:00","COL","BOG","MIA","BOG","","",""
"14","bird_strike","AVA","2018-10-14","19:05:00","COL","BOG","MEX","BOG","","",""
"15","bird_strike","AVA","2018-10-14","21:25:00","COL","BOG","CLO","BOG","","",""
"16","bird_strike","AVA","2018-10-14","21:50:00","COL","BOG","CTG","BOG","","",""
"17","bird_strike","AVA","2018-10-11",NA,"COL","BOG","CLO","BOG","","",""
"18","bird_strike","AVA","2018-10-09","23:00:00","COL","BOG","BOG","MVD","","",""
"19","bird_strike","AVA","2018-10-09","21:55:00","COL","BOG","BOG","CTG","","",""
"20","bird_strike","AVA","2018-10-15","23:25:00","COL","BOG","BOG","JFK","","",""
"21","bird_strike","AVA","2018-10-02","22:45:00","COL","PEI-BOG","PEI","BOG","","",""
"22","bird_strike","AVA","2018-10-09","22:00:00","COL","BOG","BOG","CLO","","",""
"23","bird_strike","AVA","2018-10-12","07:20:00","COL","BOG","MTR","BOG","","",""
"24","bird_strike","AVA","2018-10-10","21:30:00","COL","BOG","BOG","LIM","","",""
"25","bird_strike","AVA","2018-10-14","13:16:00","COL","BOG","BOG","SMR","","",""
"26","bird_strike","AVA","2018-10-16",NA,"COL","BOG","LIM","BOG","","",""
"27","bird_strike","AVA","2018-10-14",NA,"COL","BOG","MDE","BOG","","",""
"28","bird_strike","AVA","2018-10-15","20:40:00","COL","BOG","BOG","MDE","","",""
"29","bird_strike","AVA","2018-10-01","20:30:00","COL","BOG","MIA","BOG","","",""
"30","bird_strike","AVA","2018-10-06","19:48:00","COL","BOG","BAQ","BOG","","",""
"31","bird_strike","AVA","2018-10-02","21:36:00","COL","BOG","PSO","BOG","","",""
"32","bird_strike","AVA","2018-10-14","05:30:00","COL","BOG","JFK","BOG","","",""
"33","bird_strike","AVA","2018-10-17","12:00:00","COL","BOG","JFK","BOG","","",""
"34","bird_strike","AVA","2018-10-17",NA,"COL","BOG","SCL","BOG","","",""
"35","bird_strike","AVA","2018-10-16","23:33:00","COL","BOG","BOG","LHR","","",""
"36","bird_strike","AVA","2018-10-18",NA,"COL","BOG","CTG","LHR","","",""
"37","bird_strike","AVA","2018-10-21","23:55:00","COL","BOG","SMR","BOG","","",""
"38","bird_strike","AVA","2018-10-21","18:00:00","COL","BOG","VVC","BOG","","",""
"39","bird_strike","AVA","2018-10-20",NA,"COL","BOG","VUP","BOG","","",""
"40","bird_strike","AVA","2018-10-21","10:00:00","COL","BOG","BOG","ADZ","","",""
