"","event","flight_number","date","hour","hour_format","location","origin","destination","longitude","latitude","tcas_type"
"1","tcas","AVA247","2018-03-01","22:38:12","UTC","","IAD","BOG","32.626648","-80.610123","DESCEND"
"2","tcas","AVA8430","2018-03-16","15:03:24","UTC","","CLO","BOG","4.792786","-74.679733","DESCEND"
"3","tcas","TPU962","2018-03-13","20:19:46","UTC","","LIM","MIA","25.655479","-80.778694","ADJUST VS"
"4","tcas","AVA9822","2018-03-15","20:42:28","UTC","","BOG","MZL","4.679323","-74584908","ADJUST VS"
"5","tcas","AVA9779","2018-03-23","22:34:21","UTC","","ADZ","BOG","4.848404","-74.383965","CLIMB"
"6","long_ldg","GLG1696","2018-03-02","02:24:08","UTC","","UIO","MEC","-80.6853103637695","-0.950489044189453",""
"7","long_ldg","AVA9277","2018-03-15","11:59:57","UTC","","BOG","IBE","-75.1368865966797","4.42446327209473",""
"8","long_ldg","AVA9281","2018-03-14","16:05:11","UTC","","BOG","IBE","-75.1366271972656","4.42425441741943",""
"9","long_ldg","AVA5051","2018-03-06","17:21:36","UTC","","BOG","IBE","-75.136360168457","4.42401742935181",""
"10","long_ldg","AVA9277","2018-03-06","12:22:09","UTC","","BOG","IBE","-75.1367416381836","4.42434978485107",""
"11","long_ldg","AVA9281","2018-03-05","15:30:33","UTC","","BOG","IBE","-75.136589050293","4.42422199249268",""
"12","long_ldg","AVA9283","2018-03-07","23:47:21","UTC","","BOG","IBE","-75.1359939575195","4.42391395568848",""
"13","long_ldg","AVA9251","2018-03-15","18:44:02","UTC","","BOG","FLA","-75.5693054199219","1.59169399738312",""
"14","long_ldg","AVA9293","2018-03-16","15:32:36","UTC","","BOG","NVA","-75.2949371337891","2.94668865203857",""
"15","long_ldg","AVA9259","2018-03-25","23:11:33","UTC","","BOG","PPN","-76.6022720336914","2.45707201957703",""
"16","long_ldg","AVA9281","2018-03-22","15:36:34","UTC","","BOG","IBE","-75.1378555297852","4.42532348632812",""
"17","long_ldg","AVA9271","2018-03-01","23:43:41","UTC","","BOG","NVA","-75.2956619262695","2.9436662197113",""
"18","long_ldg","AVA9277","2018-03-01","11:55:14","UTC","","BOG","IBE","-75.1365966796875","4.42420339584351",""
"19","long_ldg","AVA9431","2018-03-18","17:54:55","UTC","","CLO","MDE","-75.4231338500977","6.16790008544922",""
"20","long_ldg","AVA9259","2018-03-28","23:38:00","UTC","","BOG","PPN","-76.6044845581055","2.45627307891846",""
"21","long_ldg","AVA9245","2018-03-15","19:14:01","UTC","","BOG","PPN","-76.6024780273438","2.45697498321533",""
"22","long_ldg","AVA9259","2018-03-11","22:44:22","UTC","","BOG","PPN","-76.6050567626953","2.45607209205627",""
"23","long_ldg","AVA9259","2018-03-19","22:48:44","UTC","","BOG","PPN","-76.602897644043","2.45685172080994",""
"24","long_ldg","AVA9277","2018-03-14","13:37:03","UTC","","BOG","IBE","-75.1366577148438","4.42428255081177",""
"25","long_ldg","AVA9281","2018-03-19","15:22:16","UTC","","BOG","IBE","-75.1368789672852","4.42447519302368",""
"26","long_ldg","AVA9281","2018-03-17","16:51:15","UTC","","BOG","IBE","-75.1369934082031","4.42458391189575",""
"27","long_ldg","TAI588","2018-03-14","03:04:57","UTC","","SAL","GUA","-90.5266418457031","14.5858392715454",""
"28","long_ldg","ISV721","2018-03-06","23:35:34","UTC","","SAP","TGU","-87.2184753417969","14.0572643280029",""
"29","long_ldg","AVA9460","2018-03-02","13:12:35","UTC","","BOG","BGA","-73.1866302490234","7.13132858276367",""
"30","long_ldg","AVA038","2018-03-19","19:34:51","UTC","","CLO","MIA","-80.3007888793945","25.7984733581543",""
"31","long_ldg","AVA8572","2018-03-07","12:00:36","UTC","","BOG","BGA","-73.1866302490234","7.13115692138672",""
"32","long_ldg","AVA9387","2018-03-13","17:17:52","UTC","","CTG","MDE","-75.4238891601562","6.17053985595703",""
"33","long_ldg","AVA9387","2018-03-14","17:45:53","UTC","","CTG","MDE","-75.4232025146484","6.17380142211914",""
"34","long_ldg","AVA9486","2018-03-05","18:58:26","UTC","","BOG","LET","-69.9451446533203","-4.19952392578125",""
"35","long_ldg","AVA9715","2018-03-06","17:06:38","UTC","","SMR","BOG","-74.1340255737305","4.6995735168457",""
"36","long_ldg","AVA095","2018-03-07","23:45:20","UTC","","SAL","BOG","-74.1256103515625","4.69322204589844",""
"37","long_ldg","AVA265","2018-03-04","06:36:28","UTC","","CUN","BOG","-74.1331634521484","4.69785690307617",""
